Time, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
6693,37,56.0846,F,4,2,local,STIPreEmigrating,0,159,60,0,1,INFORMAL,PAUSED,52,0,4
6693,37,56.0846,F,2,0,N/A,STIPostImmigrating,0,159,60,0,1,INFORMAL,PAUSED,52,0,2
6694,29,48.823,M,4,2,local,STIPreEmigrating,0,171,38,0,1,INFORMAL,PAUSED,27,4,0
6694,2,18.6887,F,4,1,local,STIPreEmigrating,0,160,26,0,1,INFORMAL,PAUSED,79,0,4
6694,2,18.6887,F,1,0,N/A,STIPostImmigrating,0,160,26,0,1,INFORMAL,PAUSED,79,0,1
6694,29,48.823,M,2,0,N/A,STIPostImmigrating,0,171,38,0,1,INFORMAL,PAUSED,27,2,0
6699,77,18.2603,F,3,4,local,STIPreEmigrating,0,167,29,0,0,INFORMAL,PAUSED,7,0,3
6699,77,18.2603,F,4,0,N/A,STIPostImmigrating,0,167,29,0,1,INFORMAL,PAUSED,7,0,4
6700,35,78.0697,F,3,2,local,STIPreEmigrating,0,164,15,0,1,INFORMAL,PAUSED,22,3,3
6700,55,42.7113,M,2,3,local,STIPreEmigrating,0,168,4,0,1,INFORMAL,PAUSED,23,2,0
6700,55,42.7113,M,3,0,N/A,STIPostImmigrating,0,168,4,0,1,INFORMAL,PAUSED,23,3,0
6700,35,78.0697,F,2,0,N/A,STIPostImmigrating,0,164,15,0,1,INFORMAL,PAUSED,22,3,2
6704,35,78.0807,F,2,1,local,STIPreEmigrating,0,164,15,0,1,INFORMAL,PAUSED,22,0,2
6704,35,78.0807,F,1,0,N/A,STIPostImmigrating,0,164,15,0,1,INFORMAL,PAUSED,22,0,1
6706,41,35.4825,M,4,1,local,STIPreEmigrating,0,174,15,0,1,INFORMAL,PAUSED,32,4,0
6706,41,35.4825,M,1,0,N/A,STIPostImmigrating,0,174,15,0,1,INFORMAL,NORMAL,32,1,1
6710,38,22.1902,F,4,1,local,STIPreEmigrating,0,139,201,0,1,INFORMAL,PAUSED,62,4,4
6710,38,22.1902,F,1,0,N/A,STIPostImmigrating,0,139,201,0,1,INFORMAL,PAUSED,62,4,1
6711,19,19.1111,M,1,2,local,STIPreEmigrating,0,172,11,0,1,INFORMAL,PAUSED,72,1,0
6711,19,19.1111,M,2,0,N/A,STIPostImmigrating,0,172,11,0,1,INFORMAL,NORMAL,72,2,2
6713,69,33.6156,M,1,4,local,STIPreEmigrating,0,173,7,0,1,INFORMAL,PAUSED,85,1,0
6713,69,33.6156,M,4,0,N/A,STIPostImmigrating,0,173,7,0,1,INFORMAL,PAUSED,85,4,0
6714,65,21.8146,M,3,4,local,STIPreEmigrating,0,165,17,0,1,INFORMAL,PAUSED,13,3,0
6714,65,21.8146,M,4,0,N/A,STIPostImmigrating,0,165,17,0,1,INFORMAL,PAUSED,13,4,0
6717,2,18.7517,F,1,4,local,STIPreEmigrating,0,160,26,0,1,INFORMAL,PAUSED,79,0,1
6717,2,18.7517,F,4,0,N/A,STIPostImmigrating,0,160,26,0,1,INFORMAL,PAUSED,79,0,4
6720,42,35.044,M,1,2,local,STIPreEmigrating,0,169,46,0,1,INFORMAL,PAUSED,45,1,0
6720,42,35.044,M,2,0,N/A,STIPostImmigrating,0,169,46,0,1,INFORMAL,PAUSED,45,2,0
6722,9,20.6971,F,4,3,local,STIPreEmigrating,0,166,33,0,1,INFORMAL,PAUSED,14,0,4
6722,43,28.532,F,2,4,local,STIPreEmigrating,0,158,80,0,1,INFORMAL,PAUSED,10,2,2
6722,43,28.532,F,4,0,N/A,STIPostImmigrating,0,158,80,0,1,INFORMAL,PAUSED,10,2,4
6722,9,20.6971,F,3,0,N/A,STIPostImmigrating,0,166,33,0,1,INFORMAL,PAUSED,14,0,3
6725,29,48.9079,M,2,4,local,STIPreEmigrating,0,171,38,0,1,INFORMAL,PAUSED,27,2,0
6725,29,48.9079,M,4,0,N/A,STIPostImmigrating,0,171,38,0,1,INFORMAL,PAUSED,27,4,0
6727,29,48.9134,M,4,2,local,STIPreEmigrating,0,171,38,0,1,INFORMAL,PAUSED,27,4,0
6727,37,56.1778,F,2,4,local,STIPreEmigrating,0,159,60,0,1,INFORMAL,PAUSED,52,0,2
6727,37,56.1778,F,4,0,N/A,STIPostImmigrating,0,159,60,0,1,INFORMAL,PAUSED,52,0,4
6727,29,48.9134,M,2,0,N/A,STIPostImmigrating,0,171,38,0,1,INFORMAL,PAUSED,27,2,0
6732,77,18.3507,F,4,2,local,STIPreEmigrating,0,167,29,0,1,INFORMAL,PAUSED,7,0,4
6732,77,18.3507,F,2,0,N/A,STIPostImmigrating,0,167,29,0,1,INFORMAL,NORMAL,7,2,2
6737,25,23.5455,F,2,4,local,STIPreEmigrating,0,178,9,0,0,INFORMAL,PAUSED,11,2,2
